,Value,Quality,Carry,Profitability,Size,Monmentum
Dates,SGEPVBE Index,SGEPQBE Index,SGEPCBE Index,SGEPPBE Index,SGEPSBE Index,SGEPMBE Index
04/04/2002,1000,1000,1000,1000,1000,1000
05/04/2002,1006.2,1005.25,1005.78,1004.78,1007.78,1005.33
08/04/2002,998.02,999.55,998.88,995.13,998.13,995.37
09/04/2002,1000.27,1002.33,1001.53,1000.16,996.64,998.26
10/04/2002,1002.8,1007.96,1007.35,1002.99,998.92,1005.2
11/04/2002,996.69,998.66,999.94,989.06,992.7,996.76
12/04/2002,1001.26,1003.72,1006.67,990.54,990.37,1002.23
15/04/2002,1002.1,1006.21,1009.23,989.48,991.05,1004.23
16/04/2002,1008.98,1007.68,1014.84,998.37,994.53,1011.9
17/04/2002,1010.49,1006.07,1016.54,999.1,997.23,1013.96
18/04/2002,1008.58,1001.22,1013.3,990.03,994.24,1008.81
19/04/2002,1013.88,1003.92,1017.7,990.69,999.64,1011.57
22/04/2002,1011.22,1002.87,1020.7,985.38,996.71,1008.99
23/04/2002,1008.79,1003.43,1019.27,983.69,995.15,1008.34
24/04/2002,1006.71,1001.52,1020.85,979.31,990.91,1003.64
25/04/2002,998.21,992.29,1009.78,968.96,981.83,992.92
26/04/2002,1001.34,992.13,1011.19,966.88,984.14,993.33
29/04/2002,999.37,990.08,1009.93,962.75,980.74,991.37
30/04/2002,1004.03,995.68,1013.32,966.2,983.63,995.65
02/05/2002,1012.09,999.84,1019.74,966.8,992.05,996.38
03/05/2002,1007.35,996.2,1018.92,955.74,979.98,992.4
06/05/2002,1003.47,993.41,1014.7,953.79,973.16,990.13
07/05/2002,1000.05,986.63,1010.55,947.74,966.22,983.19
08/05/2002,1014.18,995.75,1019.63,966.19,981.11,1002.1
09/05/2002,1009.27,992.26,1014.18,960.48,982.22,999.88
10/05/2002,1002.25,988.17,1011.12,949.26,972.39,995.52
13/05/2002,1007.26,994.01,1017.81,953.82,969.94,997.54
14/05/2002,1015.87,999.89,1020.76,964.87,978.31,1003.04
15/05/2002,1015.7,999.34,1019.74,965.58,978.84,1003.54
16/05/2002,1009.99,996.23,1016.76,960.58,970.77,1002.19
17/05/2002,1004.57,990.62,1010.6,952.89,966.45,997.16
20/05/2002,1005.48,987.43,1008.12,950.7,966.11,992.76
21/05/2002,1005.11,987.02,1009.31,946.79,967.41,989.86
22/05/2002,993.29,978.65,995.8,934.63,953.18,978.21
23/05/2002,996.52,981.26,998.72,934.43,951.78,979.46
24/05/2002,998.55,981.05,1000.78,934.91,951.99,980.48
27/05/2002,998.26,982.4,999.74,937.12,954.56,981.09
28/05/2002,990.73,974.76,991.92,930.38,944.83,974.49
29/05/2002,985.11,972.01,988.06,921.79,934.13,968.57
30/05/2002,975.67,967.55,980.2,912.89,927.91,957.38
31/05/2002,981.72,972.56,985.26,920.75,934.8,963.79
03/06/2002,978.59,966.67,981.35,912.7,930.26,958.61
04/06/2002,967.46,953.91,971.88,899.74,919.54,946.49
05/06/2002,965.36,952.3,970.53,899.23,919.86,946.12
06/06/2002,964.51,952.53,969.03,897.31,917.77,944.3
07/06/2002,955.38,944.02,963.28,887.91,907.57,935.26
10/06/2002,957.53,946.98,962.61,890.72,907.59,936.88
11/06/2002,964.98,953.35,968.29,898.4,911.63,942.36
12/06/2002,954.22,940.26,958.1,884.46,900.46,930.01
13/06/2002,946.2,936.14,948.63,876.01,891.31,921.19
14/06/2002,920.63,913.38,924.67,852.43,864.1,895.35
17/06/2002,939.27,933.46,941.58,871.62,877.51,915.2
18/06/2002,936.28,930.59,937.83,869.48,873.79,913.72
19/06/2002,923.92,922.52,924.73,854.68,856.59,901.85
20/06/2002,906.49,906.96,908.57,834.33,839.16,881.41
21/06/2002,905.8,901.38,909.34,834.09,834.61,880.64
24/06/2002,891.17,884.84,894.9,811.82,820.35,863.29
25/06/2002,904.78,898.59,908.45,826.54,830.87,880.52
26/06/2002,885.58,885.07,887.84,811.82,810.46,865.1
27/06/2002,892.6,894.64,893.38,824.82,822.72,876.98
28/06/2002,905.43,913.59,907.41,842.63,828.57,893.12
01/07/2002,907.06,914.98,911.61,845.55,832.28,895.31
02/07/2002,889.91,902.87,897,826.99,815.49,878.08
03/07/2002,873.56,887.6,880.69,806.99,795.99,860.67
04/07/2002,878.68,893.29,886.52,815.13,801.76,867.67
05/07/2002,899.81,913.57,908.36,838.97,821.24,890.5
08/07/2002,897.26,911.84,907.99,835.83,820.62,888.25
09/07/2002,888.55,904.1,901.95,822.92,810.77,881.8
10/07/2002,874.79,887.5,887.87,808.3,798.48,867.59
11/07/2002,842.36,864.17,861.35,778.91,771.52,841.05
12/07/2002,840.91,863.86,861.44,781.6,775.09,839.24
15/07/2002,810.07,833.85,825.73,753.1,747,808.83
16/07/2002,802.9,821.46,821.17,745.97,736.44,803.08
17/07/2002,819.34,834.72,840.51,765.24,749.37,818.68
18/07/2002,831.85,845.85,853.49,776.7,763.22,835.84
19/07/2002,805.74,820,830.38,750.73,740.81,811.25
22/07/2002,779.66,795.51,802.46,729.82,723.94,786.21
23/07/2002,762.37,792.44,789.05,719.02,710.57,776.42
24/07/2002,742.51,776.06,768.76,701.09,688.49,756.09
25/07/2002,759.2,794.74,789.6,714.84,691.86,766.28
26/07/2002,757.23,797.64,790.57,715.17,689.57,766.78
29/07/2002,789.85,828.12,825.55,744.84,715.45,798.72
30/07/2002,791.44,829.26,822.2,748.05,719.42,803.7
31/07/2002,795.35,834.82,830.69,749.64,719.73,809.84
01/08/2002,777.8,813.58,808.92,730.53,704.7,790.21
02/08/2002,771.52,815.11,808.64,723.36,696.63,782.65
05/08/2002,747.25,798.93,786.71,701.54,672.64,753.77
06/08/2002,762.41,815.77,805.82,717.6,678.6,767.65
07/08/2002,762.72,810.04,803.82,714.99,679.25,768.65
08/08/2002,775.83,825.88,820.11,727.95,688.96,782.51
09/08/2002,780.04,832.18,826.47,735.09,690.39,786.21
12/08/2002,772.47,822.74,817.08,725.79,682.2,775.83
13/08/2002,777.27,829.64,822.62,730.01,683.42,777.9
14/08/2002,769.51,822.4,813.43,721.15,675.72,770.75
15/08/2002,783.64,839.35,827.42,736.12,688.1,783.97
16/08/2002,785.41,837.89,830.44,738.51,693.57,785.78
19/08/2002,799.79,850.92,848.12,754.42,706.73,801.45
20/08/2002,796.08,842.24,843,747.51,705.45,800.96
21/08/2002,804.8,846.66,850.77,759.09,713.85,812.79
22/08/2002,820.78,856.75,865.43,771.77,727.18,833.1
23/08/2002,815.43,850.92,856.19,764.37,725.76,828.97
26/08/2002,813.51,849.1,854.44,760.99,723.79,825.34
27/08/2002,820.4,856.26,866.1,765.59,728.16,833.86
28/08/2002,806.35,840.81,847.93,747.94,713.66,820.48
29/08/2002,790.54,834.03,834.21,738.96,703.86,808.68
30/08/2002,793.75,841.28,839.56,741.28,703.05,810.37
02/09/2002,786.23,834.49,830.65,733.08,698.29,805.05
03/09/2002,768.14,813.42,810.91,712.79,682.13,783.2
04/09/2002,766.97,816.04,811.71,713.19,677.18,780.95
05/09/2002,761.49,811.09,802.54,707.15,668.69,771.22
06/09/2002,774.59,827.85,819.48,720.97,676.88,786.75
09/09/2002,771.28,824.7,811.01,716.28,671.07,779.83
10/09/2002,782.75,837.86,827.45,729.81,678.12,796.42
11/09/2002,791.37,846.93,835.52,738.67,685.65,810.31
12/09/2002,778.04,833.22,819.28,723.51,677.15,791.72
13/09/2002,767.15,827.95,806.57,711.87,665.39,777.1
16/09/2002,764.44,825.43,803.93,708.9,660.95,773.64
17/09/2002,757.74,822.51,796.81,706.18,653.95,767.96
18/09/2002,734.95,806.8,772.67,688.36,637.37,745.33
19/09/2002,719.87,799.11,760.95,676.52,624.7,731.41
20/09/2002,719.47,801.06,760.81,677.17,624.13,732.72
23/09/2002,701.76,786.71,739.88,660.24,609.41,709.31
24/09/2002,684.01,772.63,726.98,645.93,594.11,689.28
25/09/2002,694.12,780.55,737.26,656.24,602.87,698.18
26/09/2002,710.71,800.8,753.91,677.35,614.42,717.7
27/09/2002,709.46,804.31,751.42,678.19,613.59,717.58
30/09/2002,684.7,785.24,722.94,653.98,590.65,694.12
01/10/2002,687.17,787.8,727.56,655.48,589.32,694.71
02/10/2002,692.91,798.14,733.8,660.31,590.41,699.66
03/10/2002,686.28,791.46,728.88,653.43,586.04,691.13
04/10/2002,678.31,785.78,720.93,648.64,578.33,684.81
07/10/2002,668.01,776.96,714.13,640.35,571.3,673.17
08/10/2002,662.57,772.67,708.45,636.41,572.26,668.24
09/10/2002,654.14,764.72,699.7,632.75,562.35,656.61
10/10/2002,657.74,768.42,705.51,636.49,560.54,666.42
11/10/2002,699.26,788.52,747.36,662.61,587.94,702.37
14/10/2002,693.07,785.39,743.15,659.53,585.61,694.97
15/10/2002,734.08,809.98,783.67,694.57,620.76,733.28
16/10/2002,732.5,803.96,781.87,689.85,624.1,731.92
17/10/2002,759.7,815.59,800.81,716.77,653.33,755.2
18/10/2002,761.4,811.69,799.21,719.42,658.53,755.29
21/10/2002,766.1,811.34,801.84,722.35,662.82,754.85
22/10/2002,759.29,811.89,797.86,723.1,661.39,743.6
23/10/2002,731.61,803.63,774.43,704.57,643.38,730.09
24/10/2002,741.67,810.92,786.35,718.13,651.49,743.13
25/10/2002,735.3,808.74,782.18,717.85,648.62,740.57
28/10/2002,752.68,810.45,793.75,728.92,660.97,750.39
29/10/2002,728.69,795.88,770.51,708.58,640.89,724
30/10/2002,746.88,804.64,783.45,722.07,657.8,735.71
31/10/2002,764.02,811.13,796.01,732.78,671.27,749.36
01/11/2002,762.38,806.42,790.73,732.11,673.84,742.57
04/11/2002,799.93,817.69,822.38,759.18,706.76,765.48
05/11/2002,803.57,815.01,828.38,754.88,702.73,763.83
06/11/2002,796.96,814.08,825.92,753.17,703.89,760.72
07/11/2002,778.67,808.86,811.94,736.38,687.78,752.09
08/11/2002,765.24,805.58,800.1,727.83,673.12,741.31
11/11/2002,757.46,802.57,793.57,719.2,661.34,734.05
12/11/2002,762.81,810.2,796.15,728.65,666.91,743.49
13/11/2002,753.54,806.94,786.52,723.75,661.03,736.36
14/11/2002,771.43,812.41,799.9,739.64,670.82,742.48
15/11/2002,773.8,811.62,805.67,741.81,677.21,747.13
18/11/2002,783.55,814.06,818.66,748.26,688,754.09
19/11/2002,778.57,811.09,811.87,743.82,684.63,749.44
20/11/2002,775.78,806.38,809.16,741.49,682.19,746.08
21/11/2002,804.33,817.03,836.76,763.21,708.92,765.76
22/11/2002,813.91,814.31,844.87,764.61,716.86,770.41
25/11/2002,811.88,809.3,843.32,764.14,718.82,765.25
26/11/2002,796.96,804.47,830.58,753.11,708.35,754.28
27/11/2002,817.18,812.94,848.33,767.91,723.06,767.31
28/11/2002,831.08,816.04,857.12,777.36,737.33,777.89
29/11/2002,838.09,811.48,860.81,779.64,740.97,780.26
02/12/2002,842.12,810.2,865.97,779,745.08,782.56
03/12/2002,816.69,804.05,847.12,759.69,723.62,767.85
04/12/2002,812.39,805.01,840.23,753.01,716.55,764.99
05/12/2002,804.17,803.36,837.08,746.8,709.39,758.96
06/12/2002,795.19,793.5,827.64,734.46,697.46,752.35
09/12/2002,777.66,786.92,810.58,721.16,684.81,739.46
10/12/2002,777.6,787.43,807.81,720.47,679.43,740.78
11/12/2002,785.8,793.56,816.61,724.49,686.06,745.61
12/12/2002,767.21,786.93,799.09,713.85,667.69,732.3
13/12/2002,756.88,782.26,788.89,703.81,657.01,724.46
16/12/2002,771.77,789.53,806.46,714.94,666.05,734.75
17/12/2002,759.48,781.98,793.62,704.73,656.56,726.52
18/12/2002,746.35,775.78,784.23,691.3,642.09,713.11
19/12/2002,742.51,776.66,778.54,686.49,638.91,712.23
20/12/2002,748.78,779.39,784.26,690.58,642.59,718.82
23/12/2002,745.35,778.49,783.13,687.01,636.32,715.6
24/12/2002,744.06,778.3,779.73,686.48,635.03,715.98
27/12/2002,728.72,764.94,764.32,671.34,624.07,701.46
30/12/2002,731.88,770.37,767.64,676.71,624.51,707.31
31/12/2002,736.94,773.6,772.5,679.29,628.05,710.28
02/01/2003,763.46,786.27,797.05,698.7,647.21,730.85
03/01/2003,768.16,787.53,800.92,703.31,656.5,736.41
06/01/2003,767.12,785.99,797.08,704.9,655.4,737.12
07/01/2003,762.86,783.73,792.31,702.87,653.74,732.08
08/01/2003,748.34,776.39,781.15,690.04,641.87,720.38
09/01/2003,753.53,775.3,786.87,694.41,644.22,723.86
10/01/2003,756,775.56,789.67,697.67,647.46,726.65
13/01/2003,757.76,772.45,789.3,697.9,650.56,728.85
14/01/2003,757.34,772.49,789.5,698.91,651.63,733.02
15/01/2003,751.94,762.62,782.26,687.76,645.31,723.49
16/01/2003,756.32,763.68,786.29,688.93,647.58,726.53
17/01/2003,742.18,757.73,775.59,679.13,636.4,710.96
20/01/2003,736.29,754.36,769.83,675.69,630.71,704.83
21/01/2003,732.99,749.68,761.28,671.9,628.14,700.07
22/01/2003,723.77,741.61,751,663.97,620.29,690.45
23/01/2003,719.72,735.78,745.8,661.84,620.59,688.24
24/01/2003,714.03,732.51,740.76,657.07,616.31,684.67
27/01/2003,692.32,711.36,717.04,638.07,593.87,663.56
28/01/2003,691.06,709.33,712.41,635.8,589.76,662.96
29/01/2003,682.01,704.95,704.06,631.86,581.77,659.59
30/01/2003,696.92,719.23,721.43,648.55,594.65,674.68
31/01/2003,697.25,721.66,722.05,648.28,593.64,674.95
03/02/2003,706.87,726.35,732.38,656.9,598.53,685.06
04/02/2003,689.27,712.97,713.58,640.92,585.52,668.45
05/02/2003,700.4,719.45,727.12,647.27,590.11,676.85
06/02/2003,693.37,713.33,718.82,640.62,585.57,668.37
07/02/2003,688.47,709.11,713.2,637.18,583.36,662.12
10/02/2003,685.12,707.41,711.48,633.82,581.59,656.49
11/02/2003,694.18,715.08,721.74,642.93,586.17,668.5
12/02/2003,680.77,704.64,708.03,631.98,574.22,657.07
13/02/2003,676.64,698.52,703.47,626.06,567.95,652.01
14/02/2003,683.15,702.02,704.57,630.63,568.79,658.23
17/02/2003,693.02,710.25,714.53,640.86,577.81,668.52
18/02/2003,696.15,715.28,716.36,644.55,579.34,674.49
19/02/2003,689.77,708.59,709.59,637.16,574.9,662.12
20/02/2003,682.11,705.33,702.91,632.98,569.41,655.09
21/02/2003,683.84,708.39,704.96,635.02,568.41,655.71
24/02/2003,678.28,705.53,696.52,630.43,565.32,649.83
25/02/2003,659.04,693.22,673.54,614.92,549.23,628.14
26/02/2003,652.71,692.33,666.76,612.03,542.33,622.32
27/02/2003,656.53,694.73,668.35,613.81,544,628.02
28/02/2003,665.18,702,675.91,621.48,551.33,640.43
03/03/2003,665.98,704.12,678.59,624.26,556.39,643.91
04/03/2003,651.8,692.99,666.97,611.99,545.82,629.37
05/03/2003,647.23,688.46,662.14,605.4,540,620.38
06/03/2003,643.67,687.86,657.56,602.78,537.2,619.3
07/03/2003,630.21,677.76,643.66,592.4,526,608.99
10/03/2003,618.76,668.37,634.1,582.95,518.33,597.87
11/03/2003,617.6,667.24,637.64,582.04,514.31,595.72
12/03/2003,607.62,654.46,624.51,573.7,511.22,580.04
13/03/2003,630.94,678.42,652.53,594.04,523.62,612.03
14/03/2003,649.66,693.41,669.78,611.59,540.56,641.51
17/03/2003,661.26,705.24,684.96,624.85,548.32,661.54
18/03/2003,668.47,709.64,691.05,630.27,558.06,668.95
19/03/2003,675.27,719.4,697.71,635.79,565.46,679.68
20/03/2003,670.92,719.51,695.86,634.38,563.42,672.21
21/03/2003,694.03,733.22,719.1,648.71,579.75,693.15
24/03/2003,673.04,715.08,693.82,627.8,563.39,664.96
25/03/2003,675.54,718.24,697.18,628.77,562.96,667.25
26/03/2003,678.62,722.19,701.17,631.78,566.88,668.16
27/03/2003,668.71,715.76,691.01,625.43,559.45,656.72
28/03/2003,666.65,714.76,685.64,622.61,559.7,654
31/03/2003,647.37,701.37,663.92,605.1,544.04,631.37
01/04/2003,649.82,706.8,669.28,608.44,545.24,637.04
02/04/2003,670.27,722.86,690.72,624.35,562.49,662.51
03/04/2003,676.51,726.56,695.9,630.68,567.18,667.94
04/04/2003,680.75,732.23,701.12,633.21,569.61,672.84
07/04/2003,704.86,746.22,726.08,653.3,589.1,701.27
08/04/2003,695.88,737.92,716.13,645.03,582.94,689.79
09/04/2003,697.41,739.03,715.55,645.6,583.97,688.06
10/04/2003,692.45,733.92,708.18,639.1,582.41,678.26
11/04/2003,698.79,739.1,715.65,646.04,587.73,685.47
14/04/2003,704.59,740.85,720.74,649.05,589.76,689.57
15/04/2003,719.32,745.65,736.01,657.71,598.79,702.57
16/04/2003,721.84,740.73,737.01,655.32,604.04,702.17
17/04/2003,725.11,743.32,738.78,658.15,605.49,705.81
22/04/2003,726.17,742.48,739.71,657.22,604.8,707.09
23/04/2003,742.21,750.45,757.62,670.7,622.16,718.92
24/04/2003,735.34,743.72,750.22,666.57,619.97,708.91
25/04/2003,727.86,737.39,742.54,659.89,616.56,700.61
28/04/2003,741.77,744.47,758.91,667.99,626.79,714.75
29/04/2003,746.51,743.83,762.33,669.14,629.92,716.46
30/04/2003,751.12,744.36,763.07,670.23,629.86,714.08
02/05/2003,756.63,743.31,768.1,670.41,635.06,714.24
05/05/2003,764.31,746.01,771.71,674.08,641.18,718.21
06/05/2003,780.19,752.62,789.76,682.98,655.96,729.51
07/05/2003,773.83,749.34,783.84,678.95,656.33,723.17
08/05/2003,756.91,739.3,765.61,668.81,643.17,708.45
09/05/2003,760.14,741.94,769.82,670.07,640.54,712.43
12/05/2003,763.04,744.34,775.07,672.17,643.68,711.94
13/05/2003,767.02,746.17,777.07,676.31,648.71,717.3
14/05/2003,775.35,749.36,784.5,678.66,659.18,720.79
15/05/2003,783.53,755.34,797.33,687.7,670.51,731.67
16/05/2003,789.47,757.48,805.88,692.02,677.61,736.63
19/05/2003,763.17,742.8,778.49,673.59,658.5,711.39
20/05/2003,766.86,748.49,782.42,678.22,659.85,714.99
21/05/2003,756.31,745.3,772.24,672.24,649.49,707.2
22/05/2003,765.2,751.04,780.01,678.16,659.43,718.92
23/05/2003,759.33,748.38,773.85,675.21,656.91,715.08
26/05/2003,756.74,744.44,771.34,671.68,653.44,712.05
27/05/2003,757.47,746.98,770.96,674.47,655.3,717.18
28/05/2003,774.65,758.72,792.07,687.1,672.19,738.6
29/05/2003,780.65,758.87,798.11,689.55,677.78,742.59
30/05/2003,791.31,760.38,803.49,692.37,684.84,749.16
02/06/2003,802.1,766.82,818.84,702.05,695.96,763.43
03/06/2003,794.43,760.79,809.11,695.49,688.33,752.67
04/06/2003,804.67,766.98,817.49,702.3,698.31,761.34
05/06/2003,804.19,767.14,820.18,702.19,701.94,761.69
06/06/2003,831.9,781.15,848.04,721.62,730.79,783.92
09/06/2003,821.47,773.91,835.6,711.76,720.88,772.46
10/06/2003,821.25,773.53,835.24,709.96,719.17,773.7
11/06/2003,830.76,779.28,844.34,716,723.55,779.06
12/06/2003,840.19,781.66,854.78,720.58,729.22,782.67
13/06/2003,826.31,775.3,840.69,714.29,718.89,771.25
16/06/2003,836.39,782.3,848.88,722.42,723.51,783.17
17/06/2003,846.88,787.12,862.38,731.07,734.12,792.57
18/06/2003,847.97,790.31,864.1,730.76,735.79,794.22
19/06/2003,837.78,785.09,852.67,721.28,726.25,780.64
20/06/2003,839.8,789.92,855.09,722.78,724.9,782.31
23/06/2003,830.25,780.31,847.29,713.95,720.8,773.3
24/06/2003,820.93,774.47,836.36,708.58,711.36,767.52
25/06/2003,827.6,777.33,843.94,713.07,716.36,771.67
26/06/2003,827.12,777.77,843.64,712.93,716.77,771.04
27/06/2003,834.54,778.68,849.75,716.67,720.86,775.5
30/06/2003,829.4,774.4,843.18,710.98,717.61,767.6
01/07/2003,816.76,765.89,829.54,702.36,708.01,754.42
02/07/2003,833.09,774.25,848.58,714.6,723.7,770.74
03/07/2003,838.52,776.52,855.99,718.78,729.57,773.26
04/07/2003,837.61,775.93,857.04,717.94,731.5,774.3
07/07/2003,858.8,787.53,881.97,734.26,748.8,795.39
08/07/2003,863.77,787.56,888.56,736.04,757.54,799.43
09/07/2003,856.36,783.32,880.23,729.86,751.55,794.04
10/07/2003,851.32,779.68,874.54,726.05,748.21,786.11
11/07/2003,857.61,784.07,883.22,729.71,749.39,791.75
14/07/2003,871.08,792.03,896.64,738.2,762.48,804.47
15/07/2003,871.68,785.67,892.65,734.83,762.1,805.07
16/07/2003,869.81,783.16,889.06,732.46,763.28,801.86
17/07/2003,863.84,782.21,881.06,725.97,757.95,792.73
18/07/2003,866.87,780.64,885.45,727.45,756.51,794.3
21/07/2003,858.62,775.13,879.6,723.83,752.66,785.64
22/07/2003,858.99,776.78,880.09,725.68,752.45,787.68
23/07/2003,857.67,778.14,878.6,726.13,752.99,787.42
24/07/2003,869.19,786.96,889.74,734.01,761.24,801.19
25/07/2003,868.81,783.91,889.66,732.4,758.26,797.26
28/07/2003,876.62,787.83,897.1,737.69,766.37,806.51
29/07/2003,873.78,786.33,894.94,736.38,766.15,807.51
30/07/2003,879.37,788.5,901.19,739.43,772.3,809.87
31/07/2003,885.52,793.2,911.35,746.22,779.93,820.2
01/08/2003,885.11,791.25,906.96,744.45,781.73,818.09
04/08/2003,879.75,787.21,902.15,741.07,777.99,814.11
05/08/2003,882.86,788.01,906.22,742.18,781.16,819.48
06/08/2003,873.55,782.96,896.67,734.5,773.31,805.75
07/08/2003,874.17,783.82,897.72,733.3,769.9,802.34
08/08/2003,879.51,790.08,902.37,740.15,774.26,807.44
11/08/2003,880.81,790.92,902.74,739.27,773.86,807.31
12/08/2003,888.06,794.64,909.01,743.72,779.17,813.79
13/08/2003,896.47,798.6,916.82,749.3,787.29,819.53
14/08/2003,903.2,803.07,924.4,754.03,789.51,825.74
15/08/2003,909.84,803.78,930.32,755.61,795.98,828.2
18/08/2003,918.45,809.95,939.39,762.76,803.54,835.76
19/08/2003,925.03,812,945.55,766.21,814.81,840.79
20/08/2003,923.34,809.6,945.61,763.63,812.18,838.25
21/08/2003,934.2,818.71,958.74,774.92,825.7,845.9
22/08/2003,937.44,823.93,963.97,780.04,832.17,848.72
25/08/2003,929.81,819.34,958.65,775.22,826.98,842.39
26/08/2003,921.5,814.79,947.71,768.42,819.61,835.73
27/08/2003,927.37,818.83,951.56,774.1,821.6,838.12
28/08/2003,930.86,821.83,953.7,777.93,824.1,840.95
29/08/2003,931.58,819.88,949.45,777.1,827.8,839.53
01/09/2003,942.51,827.4,958.31,784.92,835.96,848.39
02/09/2003,947.98,830.31,967.23,793.63,845.9,853.69
03/09/2003,964.33,840.79,983.78,808.69,869.2,871.77
04/09/2003,960.82,837.76,977.22,802.71,862.09,867.95
05/09/2003,955,833.76,970.17,797.73,857,866.15
08/09/2003,955.24,834.12,970.5,798.11,857.38,869.85
09/09/2003,944.84,827.7,957.83,788.88,849.35,861.11
10/09/2003,933.15,821.25,943.94,778.61,834.47,847.83
11/09/2003,939.09,825.38,946.94,780.78,836.26,851.91
12/09/2003,937.63,821.13,946.96,778.25,838,849.57
15/09/2003,942.78,824.21,950.07,781.71,841.4,853.45
16/09/2003,948.53,830.99,956.77,789.18,846.37,862.61
17/09/2003,954.82,833.56,962.29,793.32,854.51,867.8
18/09/2003,956.58,837.46,966.86,798.24,857.39,873.16
19/09/2003,951.72,833.73,963.41,794.32,855.32,870.22
22/09/2003,936.14,821.68,948.22,782.86,840.18,852
23/09/2003,933.29,821.98,943.11,780.68,836.83,849.01
24/09/2003,934.83,826,947.44,784.39,842.3,850.42
25/09/2003,922.99,821.4,935.67,775.76,830.87,839.06
26/09/2003,919.45,817.57,932.97,772.61,822.95,832.35
29/09/2003,916.66,813.68,928.92,769.43,821.44,829.65
30/09/2003,902.62,803.06,912.42,758.34,807.84,816.4
01/10/2003,914.02,808.21,921.77,763.42,813.22,824.55
02/10/2003,918.13,812.19,928.17,770,824.18,831.88
03/10/2003,934.94,825.78,945.85,785.39,839.24,852.21
06/10/2003,937.43,826.95,948.64,786.48,842.21,853.5
07/10/2003,929.74,821.46,939.13,780.47,835.17,847.82
08/10/2003,932.33,821.92,938.76,783.07,840.36,853.93
09/10/2003,944.42,832.04,951.82,792.48,854.16,868.67
10/10/2003,942.45,829.7,949.52,791.95,851.38,863.31
13/10/2003,956.47,841.69,963.19,802.26,863.04,878.45
14/10/2003,957.01,837.93,962.23,799.06,861.43,876.35
15/10/2003,969.12,846.83,975.81,809.35,874.1,888.66
16/10/2003,969,845.77,974.78,807.65,874.22,884.27
17/10/2003,965.92,845.57,974.65,805.9,873.55,883.72
20/10/2003,964.8,844.93,974.14,804.25,871.71,883.31
21/10/2003,964.69,846,973.6,804.82,871.74,886.85
22/10/2003,948.42,834.88,958.28,793.74,857.75,872.22
23/10/2003,941.2,831.32,953.08,790.32,852.38,863.69
24/10/2003,941.29,832.16,952.76,792.34,855.82,864.88
27/10/2003,950.5,837.57,959.26,797.68,860.3,873.94
28/10/2003,958.83,845.06,969.1,803.16,870.1,885.37
29/10/2003,961.67,846.77,972.25,807.06,876.51,890.31
30/10/2003,968.14,851.85,978.86,811.69,880.52,897.08
31/10/2003,975.63,850.03,982.54,812.49,884.76,897.44
03/11/2003,988.7,861.19,995.49,822.71,894.8,912.54
04/11/2003,985.4,860.48,992.8,820.57,889.49,908.14
05/11/2003,982.33,859.91,994.17,814.57,884.96,900.54
06/11/2003,986.68,863.82,996.31,816.86,886.69,902.7
07/11/2003,997.29,869.67,1004.43,823.83,896.09,914.24
10/11/2003,991.39,866.11,1001.54,820.23,892.21,907.66
11/11/2003,982.49,861.77,994.52,815.11,883.77,897.33
12/11/2003,982.77,862.22,996.04,817.07,887.92,901.19
13/11/2003,983.68,863.11,994.66,817.07,887.74,903.33
14/11/2003,984.83,864.87,994.03,816.52,884.34,904.48
17/11/2003,967.97,855.99,981.06,804.78,871.5,887.7
18/11/2003,964.47,853.55,977.69,803.03,869.82,888.41
19/11/2003,959.68,849.79,974.93,800.25,863.51,884.21
20/11/2003,954.94,847.81,971.03,797.65,859.78,880.69
21/11/2003,957.89,849.76,971.27,798.8,860.38,883.64
24/11/2003,972.24,860.56,985.6,810.59,873.48,898.61
25/11/2003,976.57,861.43,988.17,812.12,876.68,905.61
26/11/2003,975.21,858.8,987.12,809.92,874.86,903.3
27/11/2003,981.7,862.64,989.76,813.45,879.63,907.71
28/11/2003,978.68,858.6,987.17,810.01,878.27,906.06
01/12/2003,990.12,869.59,997.94,820.58,888.84,919.12
02/12/2003,988.49,865.33,992.84,816.94,884.88,917.99
03/12/2003,993.48,866.66,995.26,819.21,885.1,922.46
04/12/2003,992.71,865.61,995.07,819.13,886.03,922.05
05/12/2003,988.28,860.58,991.5,813.58,879.87,914.19
08/12/2003,984.4,858.32,987.76,811.16,874.13,908.48
09/12/2003,989.38,862.66,996.76,814.84,877.82,912.81
10/12/2003,980.3,857.13,985.57,808.11,867.39,900.8
11/12/2003,978.33,860.91,987.74,809.81,867.02,900.96
12/12/2003,977.39,858.19,987.89,807.35,867.46,900.66
15/12/2003,978.65,858.41,988.39,807.88,866.36,900.31
16/12/2003,975.29,853.46,982.44,801.02,858.84,889.66
17/12/2003,975.86,855.9,984.49,800.74,860.93,890.36
18/12/2003,983.42,861.64,989.88,806.24,865.02,895.31
19/12/2003,984.21,863.12,993.14,806.41,866.82,895.38
22/12/2003,979.43,860.73,988.73,803.24,862.09,889.09
23/12/2003,985.6,866.83,997.08,807.84,867.59,892.99
24/12/2003,985.6,866.83,997.08,807.84,867.59,892.99
29/12/2003,990.47,869.74,1001.91,812.29,870.87,896.8
30/12/2003,993.57,871.86,1005,815.14,875.86,901.88
31/12/2003,993.57,871.86,1005,815.14,875.86,901.88
02/01/2004,1005.4,880.6,1017.27,824.57,883.34,913.64
