date,UX2-UX5_ema_20,UX2-UX5_ema_60,UX5-UX8_ema_20,UX5-UX8_ema_60,CSI BARC-BASPCAAA_ema_20,CSI BARC-BASPCAAA_ema_60,UX2-UX5_signal_20_60,UX2-UX5_signal_20_80,UX2-UX5_signal_20_100,UX2-UX5_signal_30_60,UX2-UX5_signal_30_80,UX2-UX5_signal_30_100,UX2-UX5_signal_40_60,UX2-UX5_signal_40_80,UX2-UX5_signal_40_100,UX5-UX8_signal_20_60,UX5-UX8_signal_20_80,UX5-UX8_signal_20_100,UX5-UX8_signal_30_60,UX5-UX8_signal_30_80,UX5-UX8_signal_30_100,UX5-UX8_signal_40_60,UX5-UX8_signal_40_80,UX5-UX8_signal_40_100,CSI BARC-BASPCAAA_signal_20_60,CSI BARC-BASPCAAA_signal_20_80,CSI BARC-BASPCAAA_signal_20_100,CSI BARC-BASPCAAA_signal_30_60,CSI BARC-BASPCAAA_signal_30_80,CSI BARC-BASPCAAA_signal_30_100,CSI BARC-BASPCAAA_signal_40_60,CSI BARC-BASPCAAA_signal_40_80,CSI BARC-BASPCAAA_signal_40_100,Equi_weighted
2006-01-25,-0.2665098870357944,-0.6727222194072613,-0.123090772223666,-0.02697908448943736,1.5340524206712693,1.5479790667477455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1001.4614562708333
2006-01-26,-0.2693881486510238,-0.6689020123381351,-0.12585989876262416,-0.030048851135179196,1.5269984961193106,1.5478459567750829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1008.8164064452895
2006-01-27,-0.2795928943777463,-0.6632182896255323,-0.12689832121473352,-0.03311861778092103,1.5317088470536775,1.5499600563409057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1020.7022198555751
2006-01-30,-0.29346088216021543,-0.6580004458237989,-0.12793674366684285,-0.03618838442666286,1.5319756895942944,1.5493571464647267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1021.3033120528869
2006-01-31,-0.304450608327455,-0.6524098988933701,-0.13209043347527993,-0.0392581510724047,1.5321149117893988,1.5487933865805072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1019.7255903667128
2006-02-01,-0.3191035765504413,-0.6478442855668531,-0.13451341919686838,-0.04232791771814662,1.5307690972367225,1.5457083672140846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1032.9042751955874
2006-02-02,-0.32773836139612955,-0.640483398775122,-0.1383209681879357,-0.045397684363888455,1.5389600030487012,1.5497329863875393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1028.8384736211212
2006-02-03,-0.33584982594813956,-0.6313521721220886,-0.13901324982267518,-0.04846745100963029,1.5579986382292348,1.550930976141506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1028.0536820675711
2006-02-06,-0.33794310712285197,-0.6179348594890597,-0.14316693963111227,-0.05153721765537213,1.5729534223533708,1.5554019052233012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1031.0975106411922
2006-02-07,-0.3337565447734275,-0.6055424804599425,-0.14420536208322163,-0.054606984301113964,1.590042946802442,1.5612039340317263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1027.6839580467877
2006-02-08,-0.3327099041860713,-0.5947340897277805,-0.14351308044848202,-0.057676750946855884,1.6040347774104389,1.5619399538805678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1027.5188611570036
2006-02-09,-0.3387280875633691,-0.5854165115103993,-0.14178237636163318,-0.060746517592597714,1.6115063685477111,1.5626133337422745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1038.2501589929557
2006-02-10,-0.34291464991279375,-0.5764716364217132,-0.1383209681879354,-0.06381628423833956,1.6122488869216014,1.56413235343031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1037.33049955761
2006-02-13,-0.34134468903175946,-0.5654768941252033,-0.13485956001423763,-0.0668860508840814,1.6166459879169834,1.5689478024413506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1039.016348080051
2006-02-14,-0.34553125138118396,-0.561843038620425,-0.13485956001423763,-0.06995581752982322,1.6201497464937786,1.5697777822708963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.935314573521
2006-02-15,-0.34971781373060845,-0.5557866127791269,-0.13485956001423763,-0.07302558417556514,1.6344200214919848,1.573606651484553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1040.7173111064865
