date,principal compnent 0,principal compnent 1,principal compnent 2,principal compnent 3,Equi_weighted
2008-05-23,1.2196246933614046,-0.07905776323706007,-0.19153250115257936,2.743927227407174e-16,1000.0
2008-05-26,1.3108937764876625,0.043049243506385886,-0.14012398323168018,-0.1514594814732533,997.5880727920065
2008-05-27,1.62252831323467,0.6939335022162896,0.13600479241804064,0.14737327812393405,993.8681472556459
2008-05-28,-1.6573521570819798,-0.5008083728489771,-0.284553400088495,0.19399984386151545,1004.8661879718428
2008-05-29,-1.8400745143775028,-0.5959891448757046,0.5313159403653894,-0.09791739334316828,1007.2401235271449
2008-05-30,-2.0253682725882785,-0.3530425865820314,-0.6724172659916124,-0.039291725073592826,1011.0707675942059
2008-06-02,-2.2954676779293406,0.9372376038470572,-0.4811664552441344,-0.06732977087752239,998.6008217051739
2008-06-03,-2.541179957866883,-0.7058348802410439,0.08863585610786673,0.31179715209568937,1007.3953465652831
2008-06-04,-2.5161116530925343,-0.2789750179413528,-0.050643156278962834,0.35342283460381385,998.3381365637093
2008-06-05,-2.8628442253408397,0.9697950602309278,0.28834418194061784,0.35504302167481105,997.9397669483476
2008-06-06,-2.6547825247259698,1.8393992102459087,-0.21491293781739007,0.20314514589045446,979.1577793336263
2008-06-09,-2.9945766092495534,-0.863405725315295,0.5579533633703527,0.4945208203455029,969.4775062279174
2008-06-10,-2.885468532303473,-0.3296497922680073,-0.3864085366265683,0.38203808994395577,960.3302017356757
2008-06-11,-2.831423635937525,-1.0164485458955241,0.4499172224536368,0.1257243923097616,943.4293436670628
2008-06-12,-2.6770096683300366,0.8270520159122643,-0.1560012332323613,0.3510912186883304,951.9514141035871
2008-06-13,-2.7287729158067977,-1.4367077918053914,-0.25069699337127405,0.4160577157493286,958.3383536588675
2008-06-16,-2.5333968068459907,-0.7782226163002023,-0.7306408504684402,0.3046676049303934,959.5030691827994
2008-06-17,-2.4221031373269377,-0.1695864781858533,1.1796313720963472,-0.16031078840659246,962.8658731838633
2008-06-18,-2.5079405184689607,0.4454379252570586,1.1689023565158043,-0.14370737010370616,941.7066935864664
2008-06-19,-2.5060341958696744,-0.6717850891964423,0.7754134977248015,-0.29303945595871456,935.0581543655122
2008-06-20,-2.5454817621966246,1.3067930561479195,-0.8694190356286041,-0.1538381940053254,921.1477821015897
2008-06-23,-2.49952641220128,-0.302129705325934,-0.35242134416835524,-0.5314438356359699,915.4533761010795
2008-06-24,-2.4273820466607448,0.07606532553905235,-0.15005716521686008,-0.6533467537289287,904.8124569201796
2008-06-25,-2.1851512112671534,-0.9965852234207796,-0.1262958554001259,-0.5957353462996869,918.9279841086344
2008-06-26,-2.317259634039616,1.774552987441539,-0.274153874520284,-0.2852603444184209,895.1745173703264
