date,Value_ema_20,Value_ema_60,Quality_ema_20,Quality_ema_60,Carry_ema_20,Carry_ema_60,Profitability_ema_20,Profitability_ema_60,Size_ema_20,Size_ema_60,Momentum_ema_20,Momentum_ema_60,Equi_weighted
2002-04-05,0.00034666666666649526,0.00034666666666649526,-0.0006033333333335111,-0.0006033333333335111,-7.333333333359171e-05,-7.333333333359171e-05,-0.0010733333333334816,-0.0010733333333334816,0.00192666666666641,0.00192666666666641,-0.0005233333333334311,-0.0005233333333334311,1000.0
2002-04-08,0.00025189954350867956,0.0002534922682676344,0.0010502919619392928,0.0010224999401700018,0.0006981812401580686,0.0006852146086708138,-0.0011960470905713603,-0.0011939846744833285,0.000280152831630987,0.0003078253330601538,-0.0010835354056259957,-0.0010741202447471293,991.7085327218017
2002-04-09,0.00012745966245928165,0.00013263670404312596,0.0008306357115201487,0.0008195436500669285,0.0005569931707958258,0.0005531008330445305,0.00016876763854633626,0.0001248984584978137,-0.0011678658913693728,-0.0011015829403261275,-0.0005122998961230824,-0.0005250078383897715,994.0465144023648
2002-04-10,-0.0003946769770453427,-0.0003652319689310296,0.0009512213902091689,0.0009370615538606103,0.0008036852412885423,0.0007886978584354982,-0.0002835762958234249,-0.00029402634686942285,-0.0014059781105071735,-0.0013450137527187326,0.0003301752430340891,0.0002794268557269718,998.3596017974786
2002-04-11,0.00023175248938576173,0.00021473280858829767,0.0005875673600303976,0.000599774551277926,0.0008860941666512786,0.0008688942436913294,-0.0014047083057634566,-0.0013407357019315923,-0.0005855959263961236,-0.0005901148791770416,0.000287286338375353,0.0002497960120419491,989.8411299195378
2002-04-12,0.0003905675435435656,0.0003638857228876454,0.0007701260609800225,0.0007657063805064434,0.0013263058935693802,0.0012771156893150594,-0.0015200158243254525,-0.001457996081236857,-0.001580947615770091,-0.0015055919052266516,0.0006059812893539177,0.0005496816677770645,993.3174485345775
2002-04-15,0.00025724329159631165,0.00024710667797844566,0.0008460205928302361,0.000835126965281862,0.0013203352463401316,0.0012790929624317657,-0.0016530886250837903,-0.0015878667525167853,-0.0014127456468543804,-0.001364524139349159,0.0006286579672144287,0.0005786796389133078,994.5618314134598
2002-04-16,0.000397454373395756,0.0003734856393147424,9.588768226460064e-05,0.00016762368936219235,0.0011084778737411975,0.0010956283932262425,-0.0009143167371431177,-0.0009376920596955649,-0.0015227229634645785,-0.0014689868332604826,0.0008283936971034312,0.0007634189751077155,1000.1955222099974
2002-04-17,0.0003872510001897408,0.0003673729952898566,-0.00029196534228797936,-0.00018142031009400324,0.001026274145606019,0.0010249807567385364,-0.0008506321863883848,-0.0008790030611001611,-0.0011085231353103297,-0.001111707672225319,0.000832831825746017,0.0007750297464193215,1001.3703124378637
2002-04-18,0.0006645026311568555,0.0006092177265006957,-0.0002952465964233085,-0.0001961663072947182,0.0010622709004144324,0.001056241784632346,-0.0013148037829568346,-0.0012772551604243716,-0.0007829689115511163,-0.000829900405001787,0.0006572004345067102,0.0006294113090123139,996.8617028327523
2002-04-19,0.000787792907023998,0.000719661646963588,-0.0003573058043769829,-0.0002587945857252535,0.0010336092633422447,0.0010324309085491382,-0.0014940367592591295,-0.001433584588801847,-0.00047138512461978167,-0.0005599440941617949,0.0004892436743134297,0.0004891353017604039,1000.3777886769443
2002-04-22,0.0006244460096695598,0.0005888559540354395,-0.00022446614223946341,-0.00015635190384164201,0.0014495845342213452,0.0013814770985433663,-0.001706823049459933,-0.0016175955205104168,-0.0005312045136617852,-0.0006020422493650408,0.00036632440809610575,0.0003860350117743656,998.4673047097654
2002-04-23,0.00043615813347219735,0.0004362565701012112,-2.127292514156137e-05,5.805024987943589e-06,0.001279471650125453,0.0012466607768538735,-0.0015849102197355608,-0.0015244104166341173,-0.0005146730467330002,-0.0005823635327144504,0.000385261245796654,0.00040001271232236835,997.2742878352045
2002-04-24,0.000447430272463263,0.000445430012008826,5.010130220792032e-05,6.178756002400725e-05,0.0015609522986941749,0.0014785376869881034,-0.0016097165262558245,-0.0015494246147263644,-0.0006251943866269573,-0.0006670034199378543,0.00014782864591381714,0.00020544893541752447,994.6678773578652
2002-04-25,0.0005340147232468748,0.0005150928692451102,0.00010172102077120554,0.00010235576446480346,0.0013201635389959493,0.0012913874262561779,-0.0015294831679349532,-0.0014895196509277077,-0.0005057545506397199,-0.0005679856199294382,5.3852050472300756e-05,0.0001256914162599112,984.9000516973978
2002-04-26,0.0006909294554886271,0.000640625633235382,2.813402768223079e-06,2.4027233332850192e-05,0.0012515435240799914,0.0012391098872846886,-0.0016600215179625576,-0.0015956632763498948,-0.00032589659442830486,-0.0004212324197646079,1.0495895523070828e-05,8.629787158904016e-05,985.7318495738278
2002-04-29,0.0006758466850596796,0.0006322279579803815,3.836123030923117e-05,5.034738680895877e-05,0.0012502688524197328,0.001238948907711643,-0.0016710790933837886,-0.0016086089667597325,-0.00038141755708344193,-0.00045816957821362544,5.338355692354794e-05,0.00011468552419664314,983.2845080130968
2002-04-30,0.0006673251231061419,0.0006284538238393966,0.0001650997161014169,0.00014713110559305272,0.0010857472732354399,0.0011130414993707036,-0.0015744660299077558,-0.0015382355009594592,-0.00044459527106973236,-0.000501896474491968,6.782068674714977e-05,0.00012188382227839106,987.3059690610954
2002-05-02,0.0008757668238383508,0.0007890785665336705,0.00010473925155667257,0.00010239923898306204,0.00112471388699326,0.0011409619857295423,-0.001780775623094128,-0.00169708048511155,-0.00010410421282483899,-0.00023989248778233453,-0.00026135854740147154,-0.0001313344891336911,992.0101008762045
