date,principal compnent 0,principal compnent 1,principal compnent 2,principal compnent 3
2008-05-23,1.2196246933614046,-0.07905776323706006,-0.19153250115257936,2.7439272274071746e-16
2008-05-26,1.3108937764876623,0.043049243506385886,-0.14012398323168018,-0.1514594814732533
2008-05-27,1.62252831323467,0.6939335022162896,0.13600479241804064,0.14737327812393405
2008-05-28,-1.6573521570819798,-0.5008083728489771,-0.284553400088495,0.19399984386151545
2008-05-29,-1.8400745143775028,-0.5959891448757046,0.5313159403653894,-0.09791739334316829
2008-05-30,-2.0253682725882785,-0.3530425865820314,-0.6724172659916124,-0.039291725073592826
2008-06-02,-2.2954676779293406,0.9372376038470571,-0.48116645524413443,-0.06732977087752239
2008-06-03,-2.541179957866883,-0.7058348802410439,0.08863585610786673,0.31179715209568937
2008-06-04,-2.516111653092534,-0.2789750179413528,-0.050643156278962834,0.35342283460381385
2008-06-05,-2.86284422534084,0.9697950602309278,0.28834418194061784,0.35504302167481105
2008-06-06,-2.6547825247259698,1.8393992102459087,-0.21491293781739007,0.20314514589045443
2008-06-09,-2.9945766092495534,-0.863405725315295,0.5579533633703527,0.49452082034550293
2008-06-10,-2.885468532303473,-0.32964979226800734,-0.3864085366265683,0.38203808994395577
2008-06-11,-2.831423635937525,-1.016448545895524,0.44991722245363674,0.1257243923097616
2008-06-12,-2.6770096683300366,0.8270520159122643,-0.1560012332323613,0.3510912186883304
2008-06-13,-2.7287729158067977,-1.4367077918053914,-0.25069699337127405,0.4160577157493286
2008-06-16,-2.533396806845991,-0.7782226163002023,-0.7306408504684402,0.3046676049303934
2008-06-17,-2.422103137326938,-0.1695864781858533,1.1796313720963472,-0.16031078840659246
2008-06-18,-2.507940518468961,0.4454379252570586,1.1689023565158045,-0.14370737010370616
2008-06-19,-2.5060341958696744,-0.6717850891964423,0.7754134977248015,-0.29303945595871456
2008-06-20,-2.5454817621966246,1.3067930561479195,-0.8694190356286041,-0.1538381940053254
2008-06-23,-2.4995264122012797,-0.302129705325934,-0.35242134416835524,-0.5314438356359699
2008-06-24,-2.4273820466607448,0.07606532553905235,-0.15005716521686008,-0.6533467537289287
2008-06-25,-2.1851512112671534,-0.9965852234207796,-0.1262958554001259,-0.5957353462996869
2008-06-26,-2.317259634039616,1.774552987441539,-0.274153874520284,-0.2852603444184209
2008-06-27,-2.371543421006853,-0.5441050792491573,0.1096416555613223,-0.6184128460306932
2008-06-30,-2.372342224304891,-0.18755935911875965,0.16854655233572707,-0.5227397771381036
2008-07-01,-2.5611462947081187,0.017313928143185338,0.42873879940580123,-0.5903485161225336
2008-07-02,-2.656431393178725,-1.4877956434411308,0.2087382753505234,-0.3762253063680627
2008-07-03,-2.4265915088669,-0.12578079810093656,0.4475649114909495,-0.5827795275251806
2008-07-04,-2.381722782058063,-0.13993986056611116,0.4843261610159044,-0.5442442019893289
2008-07-07,-2.263213409193779,-0.718633081334743,-0.17872350566471865,-0.30236163577939545
2008-07-08,-2.141392286810103,1.3320223581819373,-0.8405242925026429,-0.5955302008980528
2008-07-09,-2.1882313293849083,-1.3299028309127239,-0.20825457869816294,-0.17026474341654665
2008-07-10,-2.1123273728808787,-0.2079815217344222,-0.7600078753341121,-0.3926850675064525
2008-07-11,-1.9626272178421782,-1.0906180587579406,0.06219412588682042,-0.2643127243066813
2008-07-14,-2.0461749453798777,-1.0168988610077523,-0.2448031178982678,-0.40363564220192477
2008-07-15,-2.12413005454239,-1.355587042459089,-0.5618968420953876,-0.3060281297465973
2008-07-16,-1.601521114441188,2.0770948640815745,1.2418440302541256,-0.6545578953563413
2008-07-17,-1.183645223853191,1.9364422253543125,-0.8034276378098806,-0.5823267558845987
2008-07-18,-0.5517836777083643,1.1544949953118822,-0.16726626304596004,-0.8976958462467325
2008-07-21,0.04050045096995439,0.7751982868470251,0.38817740186415756,1.1714647466272867
2008-07-22,0.6226889364130325,1.7539799128721245,0.26267348436225435,1.1419226036241588
2008-07-23,1.366376901810062,1.872597795104216,0.778639770047063,-0.9450977533041521
2008-07-24,1.6645287216200704,-1.2889822952778927,1.9306999144083594,0.3676292525144016
2008-07-25,2.2207687491998724,0.6731769774320114,1.5170147195915342,-0.6372355971454737
2008-07-28,2.4010005895749638,-0.7110736425552286,1.613866412162717,-0.49470546265711285
2008-07-29,3.0656254625465493,2.07857394504176,1.0034399799598288,-0.8002970738898101
2008-07-30,3.6850140842810157,1.5294646011009607,1.0588698166516657,-0.4683314834578646
2008-07-31,3.5772482029980766,-0.5569105995514231,1.3165791617476112,-0.506578785264986
2008-08-01,3.4887173011372625,-0.09278351106530257,1.0303926221364141,-0.8621028926697468
2008-08-04,3.202835486463288,-0.6659893014425758,1.0165361828424668,-0.9396367811584196
2008-08-05,3.667503789991542,1.5026674120461785,0.5413763685409397,-1.0352223690240063
