date,Value,Quality,Carry,Profitability,Size,Momentum,UX2-UX5,UX5-UX8,CSI BARC-BASPCAAA,SGEPVBE-SGEPLBE,UVOLNYE-DVOLNYE,MRI CITI Index,MRIST Index,CESIG10 Index,CESIUSD Index,Equi_weighted
2008-05-20,0.8431024677230434,0.9343694889121972,0.7271322532514749,0.9362375111451758,0.8748235346263438,0.9398472554145836,-0.2903796109091956,0.6258483405163258,-0.2060920031073444,1.03754619933738,-0.8135118026138317,0.14154333377527784,-1.3341959666630572,-0.6507891297930753,-0.4782423395461669,1000.0
2008-05-21,0.7767840851202572,0.8874702093529373,0.6271322532514749,0.8986377216899606,0.8239020639046006,0.9100537958620878,0.3895564491027258,0.7636911078341861,-0.3868610780461051,0.9702606575595596,-1.3634491080191025,0.15013852611113193,-0.7870278069740505,-0.37662882015269444,-0.4543831040964283,990.8533859079121
2008-05-22,0.7171425628640562,0.8496559236386516,0.5357921571489656,0.866152415961388,0.7800436889613414,0.8847439851908312,0.558299704872108,0.8227665795418403,-0.466105462866782,0.9769300740541385,0.08560920212582314,0.11146016059978876,-1.1485496267685726,-0.3731584364863605,-0.42813794510171577,995.2733977457088
2008-05-23,0.639196056177392,0.791622905936778,0.45582494403421153,0.8199127329889819,0.7205180694477983,0.839987093442131,0.4937802247249917,1.0262487598682064,-0.07218047745385246,0.9311969323770266,-1.12554150565346,0.3564231421716296,0.04349529255390597,-0.4425661098130392,-0.39473501547208173,980.722063012847
2008-05-26,0.5545503868860535,0.7236588133017338,0.37032494403421157,0.7634407815466996,0.6478375342370641,0.7857056430713483,0.4937802247249917,1.0262487598682064,-0.07218047745385246,0.9095131152025333,-1.12554150565346,0.3564231421716296,0.04349529255390597,-0.4425661098130392,-0.39473501547208173,978.3566327855868
2008-05-27,0.47789121928200406,0.6615402503467988,0.2965052719030641,0.7091766584227566,0.5769723587091691,0.7269702945747645,0.5880779264784707,0.7046156361265321,-0.4355561782837383,0.8978169956356857,0.2757421220724504,0.3564231421716296,0.04349529255390597,-0.4703291791437107,-0.320771385577892,974.708419739313
2008-05-28,0.4279393899431128,0.6081045833292024,0.25206289854935404,0.6572914518401205,0.5196688438193088,0.6665324267722582,0.4292607445778755,0.6258483405163258,-0.377213935546197,0.9291271134649156,0.3063673550270666,0.32204237282821374,-0.4499331371656446,-0.452977260812041,-0.2611232969535454,985.494440919601
2008-05-29,0.36581148784734624,0.5601986482788105,0.20160577087444242,0.5893156210244106,0.46910460479161364,0.6031666488063955,0.06695904836714273,0.645540164418878,-0.3581493444154265,0.892790292563417,0.3965092896886702,0.13724573760735104,-0.9824450068629814,-0.5570887708020591,-0.25157960277365,987.8226118948565
2008-05-30,0.2990967319718816,0.5199970805296501,0.1448796917604721,0.530463657278187,0.40805687340346475,0.5442443748608461,-0.01741257951754749,0.4880055731984653,-0.042549968346992297,0.9209792548902576,0.1456734567523095,0.12435294910356966,-1.0948098967991169,-0.5917926074653984,-0.22056259668898973,991.5794090469723
2008-06-02,0.20238836536732122,0.4502546393202438,0.07159202052759542,0.44985942767093645,0.31534492496518995,0.46943833733792345,0.17118282398940868,0.6980516948256829,-0.02049935691862996,0.8782029973733033,-0.8923658648206948,0.29195919965272443,-0.11772389735446195,-0.5883222237990645,-0.12035380780008753,979.3498579890223
2008-06-03,0.16064288105175972,0.4503038749595285,0.051923295018737665,0.419178189863283,0.2742749761798877,0.44653761791346314,0.2406653410709193,0.4486219253933634,-0.0662084368586719,0.8719935406369711,-0.47424341240741147,0.5197317965528578,0.5906634522429132,-0.5709703054673948,-0.09649457235034892,987.9748425530465
2008-06-04,0.12696126365454594,0.4351874770271867,0.051923295018737665,0.3773066802248429,0.23597978849806128,0.3992962347518948,0.13644156544865335,0.5076973971010175,-0.3866313841770599,0.852215271032358,-0.38437433394854953,0.5584101620642008,0.2584542124317302,-0.5709703054673948,-0.02491686600113305,979.0922368751624
2008-06-05,0.0881889684979871,0.41150120283105784,0.044597806412925066,0.3276016536271315,0.19272859477498427,0.33758389843485964,-0.03726472725512321,0.5339531623044211,-0.31772322346342813,0.8518538740794491,1.3222767962107524,0.5154342003849303,-0.083525887373899,-0.668141048124745,-0.01060132473128988,978.7015470041432
2008-06-06,0.0881889684979871,0.38141070509350145,0.044597806412925066,0.28489776964977975,0.16652427128107442,0.29523050633060516,0.31014785815242996,0.5667728688086716,-0.011541296025857493,0.7824656591210724,-1.83846737018184,0.8979202593304373,0.9082164020624257,-0.83124908044244,-0.11558196071013983,960.2816373631521
2008-06-09,0.0881889684979871,0.35123940580455526,0.044597806412925066,0.24654473498205345,0.14566396183303318,0.25678665811289714,0.022291715957600437,0.6192843992154766,-0.18679771810752746,0.7118289819617393,-0.6608255206903649,1.0268481443682487,1.5775203116820142,-0.8971863701027848,-0.05116202499584554,950.7879799523934
2008-06-10,0.0881889684979871,0.32339519119563465,0.044597806412925066,0.21230414692205546,0.13419682697074847,0.22471498314164376,0.10666334384229066,0.5273892210035697,-0.19897149316693705,0.6734551964165759,-0.3210808974825322,0.9494914133455614,1.2355402118763854,-0.8902456027701169,-0.07979310753553188,941.8170166197555
2008-06-11,0.06776487125728088,0.2835386338185854,0.032469480904317824,0.17080060422960922,0.11344819038175492,0.18631682888983114,0.2605174888084933,0.7177435187282326,0.03439747778323033,0.6051511723169241,-1.5226623127686942,0.8162659321398235,0.8593621020901929,-0.9110679047681205,-0.03923240727097623,925.2419722280181
