date,MRI CITI Index_ema_20,MRI CITI Index_ema_60,MRIST Index_ema_20,MRIST Index_ema_60,CESIG10 Index_ema_20,CESIG10 Index_ema_60,CESIUSD Index_ema_20,CESIUSD Index_ema_60,MRI CITI Index_signal_20_60,MRI CITI Index_signal_20_80,MRI CITI Index_signal_20_100,MRI CITI Index_signal_30_60,MRI CITI Index_signal_30_80,MRI CITI Index_signal_30_100,MRI CITI Index_signal_40_60,MRI CITI Index_signal_40_80,MRI CITI Index_signal_40_100,MRIST Index_signal_20_60,MRIST Index_signal_20_80,MRIST Index_signal_20_100,MRIST Index_signal_30_60,MRIST Index_signal_30_80,MRIST Index_signal_30_100,MRIST Index_signal_40_60,MRIST Index_signal_40_80,MRIST Index_signal_40_100,CESIG10 Index_signal_20_60,CESIG10 Index_signal_20_80,CESIG10 Index_signal_20_100,CESIG10 Index_signal_30_60,CESIG10 Index_signal_30_80,CESIG10 Index_signal_30_100,CESIG10 Index_signal_40_60,CESIG10 Index_signal_40_80,CESIG10 Index_signal_40_100,CESIUSD Index_signal_20_60,CESIUSD Index_signal_20_80,CESIUSD Index_signal_20_100,CESIUSD Index_signal_30_60,CESIUSD Index_signal_30_80,CESIUSD Index_signal_30_100,CESIUSD Index_signal_40_60,CESIUSD Index_signal_40_80,CESIUSD Index_signal_40_100,Equi_weighted
2003-07-07,-0.9444572638161394,-1.0550351068449046,-0.40566061281413807,-0.5276803574708869,-0.4054246034691897,-0.8734613349722932,0.27924244607157317,-0.8869171061819578,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1030.1871021667844
2003-07-08,-0.9571382596513006,-1.0538558362700983,-0.43247688042456256,-0.4689730368901523,-0.38084803025246083,-0.863290944711664,0.30005894153092744,-0.8357845101256014,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.7915943333546
2003-07-09,-0.9702642027087485,-1.0513400590438442,-0.47740283525241706,-0.42630885796961737,-0.3584085503589259,-0.8588211553614511,0.3171582056582542,-0.7945162639142269,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1027.7459868406952
2003-07-10,-0.9825002513216236,-1.0444216716716455,-0.4937712063912475,-0.35896292264877433,-0.3347224326935278,-0.8549991615692402,0.33623999316266234,-0.7553447877182112,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1021.4342356244239
2003-07-11,-0.9962936152125009,-1.0356950694180762,-0.5362593187090633,-0.28579914474785845,-0.30694021949200834,-0.8473551739848183,0.35148064162397535,-0.7141241953708222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1027.8295720011145
2003-07-14,-1.0136465568816693,-1.027990501662673,-0.5376523715719427,-0.21439834944696387,-0.2780894596288919,-0.8373791223915897,0.36176498164258497,-0.671950525743725,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1042.649863906213
2003-07-15,-1.0343366027179854,-1.0228017111335237,-0.5003882074899237,-0.14017678198603428,-0.23516950205474957,-0.8194351854349384,0.37093415226158627,-0.6261075085897501,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1039.8851239846545
2003-07-16,-1.0410108110522807,-1.0161191778762864,-0.4234220368158471,-0.08305614574531874,-0.19403045558326876,-0.8003899960296837,0.3745274758825462,-0.5821229921312068,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1037.2339741528967
2003-07-17,-1.0583637527214491,-1.012109657921944,-0.39486445312682344,-0.027345895584621294,-0.1498638602372634,-0.7817982635150305,0.3802272305916552,-0.5375666293048385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1029.5462826035707
2003-07-18,-1.080166166613481,-1.0114807136153805,-0.3986953484997416,0.007913756415820521,-0.10747817599391948,-0.7619109398843734,0.3839444619236827,-0.49486876717390155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1031.1451166977433
