,Value,Quality,Carry,Profitability,Size,Momentum,"Price Earnings Ratio 
(P/E) 
(SX5E Index)","Dividend 12 Month Yld - Gross 
(SX5E Index)","Price to Book Ratio 
(SX5E Index)","Enterprise Value/EBITDA 
(SX5E Index)","Enterprise Value/EBIT 
(SX5E Index)","Trailing 12M Profit Margin 
(SX5E Index)","Return on Assets 
(SX5E Index)","Price to Sales Ratio 
(SX5E Index)","EV To Trailing 12M Sales 
(SX5E Index)","Price/EBITDA 
(SX5E Index)","Enterprise Value/EBITDA 
(SX5E Index).1","Dividend Payout Ratio 
(SX5E Index)","Current Ratio 
(SX5E Index)",Equi_weighted
2010-12-21,0.9834900025113366,0.9716270532091207,0.9658768470550373,0.9743705990161102,0.9983081415321218,0.9603971842117093,-0.2569845678479639,0.2681723882690863,-0.9123371943206937,-1.1388724962291814,-1.007556309169096,0.4110832797594883,0.16410079599129176,-0.5010440062799353,-0.7182402296269947,-0.7771871946809347,-1.1388724962291814,-0.31829118990792943,-0.08219052231220109,1607.8288418457294
2010-12-22,0.9834900025113366,0.9716270532091207,0.9658768470550373,0.9743705990161102,0.9983081415321218,0.9611734721439606,-0.25734633056915235,0.2794258207753539,-0.9217404311866987,-1.138595031345045,-1.012257321973217,0.4110832797594883,0.16410079599129176,-0.5129300158819542,-0.7266203862430589,-0.7794449842736062,-1.138595031345045,-0.31829118990792943,-0.08246280712592112,1610.7301926059465
2010-12-23,0.9834900025113366,0.9817029676328611,0.9658768470550373,0.9829073020160136,0.9983081415321218,0.975146654924483,-0.25759749996599146,0.2872730195037165,-0.9282690373171416,-1.142762506562519,-1.0165184815355512,0.4110832797594883,0.16410079599129176,-0.5211824008222704,-0.7342164482613924,-0.7831833184741788,-1.142762506562519,-0.31829118990792943,-0.08205162039513901,1613.1261681623562
2010-12-24,0.9857851111627568,0.9875966874396244,0.9671944880937994,0.989418346676957,0.9983081415321218,0.984168061652312,-0.257724313495748,0.2912456560302254,-0.9315652805982666,-1.1456977195412001,-1.0178879417954403,0.4110832797594883,0.16410079599129176,-0.5253489612536567,-0.7366576858517264,-0.7869297740875933,-1.1456977195412001,-0.31829118990792943,-0.0814625043887297,1613.1261681623562
2010-12-27,0.972875522818925,0.9763786580589633,0.9505546944788363,0.9804581086255645,0.9874244397044813,0.968593930815874,-0.25946578781186036,0.3465337460250027,-0.9768311343142311,-1.1802753118768325,-1.0405139156928291,0.4110832797594883,0.16410079599129176,-0.5825665521185279,-0.7769913758215506,-0.8279164319076671,-1.1802753118768325,-0.31829118990792943,-0.08089855905751325,1597.396572064847
2010-12-28,0.9564419871454842,0.9666714838276307,0.9317346272142621,0.9733704339283414,0.9772821214603113,0.9481954547958367,-0.2595744149600404,0.3500283859024979,-0.9796546612695612,-1.1852226092042197,-1.0425856633642572,0.4110832797594883,0.16410079599129176,-0.586135581485477,-0.7806845282194698,-0.831821203929107,-1.1852226092042197,-0.31829118990792943,-0.07919255100790606,1601.030302628614
2010-12-29,0.955306358286211,0.9679372088458175,0.9273234279959996,0.9789021157144296,0.9789739799281918,0.9348055392874217,-0.25874226259963407,0.3233959287086379,-0.9580246605822217,-1.1624740383313388,-1.0322158359138378,0.4110832797594883,0.16410079599129176,-0.5587945219865079,-0.7621989883984481,-0.8063756694497849,-1.1624740383313388,-0.31829118990792943,-0.07881658745376469,1609.6597913546043
2010-12-30,0.9258881128397664,0.927742324558363,0.8913183951906994,0.9482938953165828,0.9613989856529459,0.8761332087719343,-0.2604227877560045,0.3775106716760005,-1.0017062745024639,-1.2008938624333818,-1.054133362134733,0.4110832797594883,0.16410079599129176,-0.614009576754129,-0.8012697767022375,-0.8500415727745946,-1.2008938624333818,-0.31829118990792943,-0.0766034602722981,1592.0445658081362
2010-12-31,0.8993072819183632,0.8856903883078381,0.8592718964800937,0.9103608009318757,0.9407755811117663,0.8134058556774524,-0.2693094443153915,0.40040772099788924,-1.0543845615530643,-1.3704424935829171,-1.1456655853831048,0.48211020985013164,0.3828427101978684,-0.7055038832547096,-0.9520447797141475,-0.9392369805950134,-1.3704424935829171,-0.3504106281999912,0.04305552488164823,1592.0445658081362
2011-01-03,0.8843625251825616,0.8207563308989938,0.8050200955589385,0.859413725722962,0.9260679379267736,0.7638968540407916,-0.26715509107055,0.3262124073919502,-0.9954109404691099,-1.3202800451847483,-1.1166427376036208,0.48211020985013164,0.3828427101978684,-0.631374897806083,-0.9001550399454461,-0.8814180895425213,-1.3202800451847483,-0.3504106281999912,0.04302940808867257,1597.6567160222164
