date,UX2-UX5,UX5-UX8,CSI BARC-BASPCAAA,SGEPVBE-SGEPLBE,UVOLNYE-DVOLNYE,MRI CITI Index,MRIST Index,CESIG10 Index,CESIUSD Index
2002-07-17,,,-178.22,-52.66999999999996,,0.6629999999999999,0.742,,
2002-07-18,,,-177.2,-48.41999999999996,,0.638,0.619,,
2002-07-19,,,-180.75,-51.309999999999945,,0.6659999999999999,0.738,,
2002-07-22,,,-184.06,-55.530000000000086,,0.677,0.784,,
2002-07-23,,,-190.37,-68.97000000000003,,0.6990000000000001,0.888,,
2002-07-24,,,-195.56,-71.31000000000006,,0.691,0.856,,
2002-07-25,,,-191.23000000000002,-72.58999999999992,,0.716,0.856,,
2002-07-26,,,-204.04000000000002,-77.55999999999995,,0.752,0.83,,
2002-07-29,,,-211.09,-73.18999999999994,,0.7070000000000001,0.717,,
2002-07-30,,,-197.53,-72.33999999999992,,0.695,0.636,,
2002-07-31,,,-185.03,-75.20999999999992,,0.7090000000000001,0.663,,
2002-08-01,,,-196.58999999999997,-75.53000000000009,,0.723,0.74,,
2002-08-02,,,-196.32999999999998,-84.32000000000005,,0.74,0.809,,
2002-08-05,,,-204.07,-93.5,,0.747,0.803,,
2002-08-06,,,-217.73,-95.25999999999999,,0.7390000000000001,0.745,,
2002-08-07,,,-202.33999999999997,-89.40999999999997,,0.7290000000000001,0.661,,
2002-08-08,,,-200.49,-92.56999999999994,,0.696,0.549,,
2002-08-09,,,-190.98000000000002,-94.90000000000009,,0.7070000000000001,0.537,,
2002-08-12,,,-199.86,-96.54999999999995,,0.716,0.628,,
2002-08-13,,,-198.95,-99.52999999999997,,0.71,0.559,,
2002-08-14,,,-204.83999999999997,-102.35000000000002,,0.7,0.566,,
2002-08-15,,,-206.56,-102.14999999999998,,0.6829999999999999,0.516,,
2002-08-16,,,-209.37,-97.72000000000003,,0.674,0.442,,
2002-08-19,,,-193.07,-97.40000000000009,,0.654,0.303,,
2002-08-20,,,-190.47,-92.58999999999992,,0.66,0.338,,
2002-08-21,,,-206.27,-89.06000000000006,,0.625,0.226,,
2002-08-22,,,-207.29000000000002,-82.56000000000006,,0.621,0.175,,
2002-08-23,,,-191.49,-82.10000000000002,,0.623,0.263,,
2002-08-26,,,-198.81,-82.62,,0.607,0.254,,
2002-08-27,,,-205.43,-82.29000000000008,,0.621,0.294,,
2002-08-28,,,-196.39,-81.09000000000003,,0.632,0.333,,
2002-08-29,,,-199.86,-89.82000000000005,,0.624,0.352,,
2002-08-30,,,-204.74,-92.91999999999996,,0.62,0.37,,
2002-09-02,,,-204.73,-94.64999999999998,,0.617,0.363,,
2002-09-03,,,-196.75,-95.56000000000006,,0.6629999999999999,0.609,,
2002-09-04,,,-210.6,-99.63999999999999,,0.669,0.631,,
2002-09-05,,,-213.32,-100.27999999999997,,0.703,0.721,,
2002-09-06,,,-224.17000000000002,-100.75,,0.696,0.647,,
2002-09-09,,,-214.02,-100.31000000000006,,0.69,0.643,,
2002-09-10,,,-207.25,-101.39999999999998,,0.6829999999999999,0.645,,
2002-09-11,,,-214.96,-101.53999999999996,,0.6609999999999999,0.529,,
2002-09-12,,,-203.54,-101.25999999999999,,0.66,0.577,,
2002-09-13,,,-209.54999999999998,-105.55000000000007,,0.654,0.587,,
2002-09-16,,,-212.87,-106.51999999999998,,0.66,0.657,,
2002-09-17,,,-212.66,-109.0,,0.6459999999999999,0.598,,
2002-09-18,,,-221.45,-114.87,,0.6609999999999999,0.63,,
2002-09-19,,,-217.51,-122.89999999999998,,0.687,0.702,,
2002-09-20,,,-224.20000000000002,-124.03999999999996,,0.706,0.738,,
2002-09-23,,,-219.13,-124.68000000000006,,0.7290000000000001,0.768,,
2002-09-24,,,-224.87,-128.89,,0.7490000000000001,0.812,,
2002-09-25,,,-242.02,-128.74,,0.727,0.7,,
2002-09-26,,,-228.71,-130.24,,0.7,0.6,,
2002-09-27,,,-224.35000000000002,-132.01,,0.726,0.67,,
2002-09-30,,,-232.8,-139.19999999999993,,0.752,0.759,,
2002-10-01,,,-244.62,-138.0300000000001,,0.7070000000000001,0.538,,
2002-10-02,,,-232.9,-142.42000000000007,,0.706,0.538,,
2002-10-03,,,-236.81,-145.07000000000005,,0.7090000000000001,0.535,,
2002-10-04,,,-234.89000000000001,-147.6500000000001,,0.7340000000000001,0.647,,
2002-10-07,,,-236.19,-149.86,,0.7490000000000001,0.643,,
2002-10-08,,,-243.56,-150.02999999999997,,0.732,0.598,,
2002-10-09,,,-237.21,-148.21000000000004,,0.7709999999999999,0.709,,
2002-10-10,,,-246.69,-145.90999999999997,,0.7509999999999999,0.582,,
2002-10-11,,,-246.58999999999997,-125.39999999999998,,0.6970000000000001,0.398,,
2002-10-14,,,-246.59999999999997,-126.2399999999999,,0.696,0.368,,
2002-10-15,,,-245.67,-105.87,,0.64,0.122,,
2002-10-16,,,-230.72,-103.11000000000001,,0.655,0.173,,
2002-10-17,,,-229.62,-86.52999999999997,,0.612,0.028,,
2002-10-18,,,-214.74,-82.04000000000008,,0.61,0.066,,
2002-10-21,,,-228.38,-79.51999999999998,,0.612,0.087,,
2002-10-22,,,-216.82,-84.09000000000003,,0.611,0.107,,
2002-10-23,,,-216.81,-102.29999999999995,,0.586,0.047,,
2002-10-24,,,-214.70000000000002,-99.74000000000001,,0.593,0.1,,
2002-10-25,,,-223.75,-103.1400000000001,,0.573,0.072,,
2002-10-28,,,-227.29000000000002,-86.1400000000001,,0.563,0.07,,
2002-10-29,,,-220.12,-96.95999999999992,,0.601,0.238,,
2002-10-30,,,-235.7,-84.91999999999996,,0.594,0.242,,
2002-10-31,,,-228.17000000000002,-75.70000000000005,,0.6,0.289,,
2002-11-01,,,-234.45,-72.82000000000005,,0.5660000000000001,0.18,,
2002-11-04,,,-227.85,-46.80000000000007,,0.5589999999999999,0.182,,
2002-11-05,,,-226.49,-43.57999999999993,,0.5539999999999999,0.226,,
2002-11-06,,,-222.99,-47.43999999999994,,0.514,0.208,,
2002-11-07,,,-209.73,-61.180000000000064,,0.524,0.3,,
2002-11-08,,,-219.01,-72.18999999999994,,0.523,0.287,,
2002-11-11,,,-218.99,-76.04999999999995,,0.546,0.398,,
2002-11-12,,,-226.91,-76.60000000000002,,0.536,0.361,,
2002-11-13,,,-221.84,-82.73000000000002,,0.532,0.424,,
2002-11-14,,,-234.14999999999998,-68.90000000000009,,0.502,0.24,,
2002-11-15,,,-214.99,-66.44000000000005,,0.479,0.182,,
2002-11-18,,,-211.45,-58.92000000000007,,0.48,0.21,,
2002-11-19,,,-213.73,-60.76999999999998,,0.48200000000000004,0.21,,
2002-11-20,,,-221.60999999999999,-61.41000000000008,,0.455,0.158,,
2002-11-21,,,-219.75,-42.860000000000014,,0.423,0.108,,
2002-11-22,,,-213.64000000000001,-31.350000000000023,,0.4,0.105,,
2002-11-25,,,-210.13,-29.019999999999982,,0.41100000000000003,0.112,,
2002-11-26,,,-202.85,-38.09999999999991,,0.439,0.165,,
2002-11-27,,,-227.12,-26.57000000000005,,0.43,0.173,,
2002-11-28,,,-227.10999999999999,-16.41999999999996,,0.43,0.194,,
2002-11-29,,,-204.82999999999998,-7.1299999999999955,,0.423,0.223,,
2002-12-02,,,-208.02,-2.159999999999968,,0.426,0.196,,
2002-12-03,,,-207.45,-23.159999999999968,,0.43,0.251,,
2002-12-04,,,-201.21,-27.75,,0.446,0.343,,
2002-12-05,,,-203.64,-34.79000000000008,,0.48200000000000004,0.519,,
2002-12-06,,,-206.41,-39.58999999999992,,0.466,0.443,,
2002-12-09,,,-206.46,-52.34000000000003,,0.494,0.515,,
2002-12-10,,,-209.68,-52.139999999999986,,0.48700000000000004,0.549,,
2002-12-11,,,-201.67000000000002,-47.80000000000007,,0.462,0.45,,
2002-12-12,,,-205.35,-58.92999999999995,,0.44,0.333,,
2002-12-13,,,-211.41,-65.12,,0.461,0.408,,
2002-12-16,,,-211.76,-54.49000000000001,,0.43700000000000006,0.294,,
2002-12-17,,,-204.79,-59.43999999999994,,0.451,0.307,,
2002-12-18,,,-204.28,-68.98000000000002,,0.47,0.473,,
2002-12-19,,,-205.38,-74.68000000000006,,0.506,0.642,,
2002-12-20,,,-214.04,-70.41000000000008,,0.47200000000000003,0.449,,
2002-12-23,,,-213.88000000000002,-73.34000000000003,,0.469,0.357,,
2002-12-24,,,-210.9,-75.37,,0.48100000000000004,0.449,,
2002-12-27,,,-208.94,-78.44999999999993,,0.522,0.612,,
2002-12-30,,,-217.32000000000002,-79.75999999999999,,0.534,0.661,,
2002-12-31,,,-221.07000000000002,-77.4899999999999,,0.523,0.582,,
2003-01-02,,,-233.01,-65.11000000000001,,0.484,0.422,-6.1,
2003-01-03,,,-211.70999999999998,-61.870000000000005,,0.46799999999999997,0.386,-6.2,
2003-01-06,,,-212.2,-61.870000000000005,,0.451,0.268,-6.3,
